# MAC address prefix -> vendor name, used by lsnet.
#
# Derived from Wireshark's "manuf" database
# (https://www.wireshark.org/download/automated/data/manuf), which Wireshark
# generates from the IEEE OUI registries (https://standards-oui.ieee.org/).
# Vendor names were shortened by scripts/update-oui.py.
#
# Wireshark: Copyright 1998 Gerald Combs <gerald@wireshark.org> and contributors.
# SPDX-License-Identifier: GPL-2.0-or-later
#
# Format: one assignment per line, HEXPREFIX, a tab, then the vendor name.
# HEXPREFIX is 6, 7 or 9 hex digits (24, 28 or 36-bit assignments).
000000	Officially Xerox but 0:0
28E888	Lingban Technology (Hang
28E971	EM Microelectronic
28E98E	Mitsubishi Electric
28EA0B	Microsoft
28EA2D	Apple
28EA5B	Samsara
28EB0A	Rolling Wireless S.a.r.l
28EBA6	Nex-T
28EBB7	ambie
28EC22	eero
28EC95	Apple
28EC9A	Texas Instruments
28ED58	JAG Jakob
28ED6A	Apple
28EDE0	AMPAK
28EE2C	Frontline Test Equipment
28EE52	TP-Link
28EED3	Super D
28EF01	Amazon
28F033	Apple
28F076	Apple
28F10E	Dell
28F358	2C - Trifonov &
28F366	Bilian Electronic Co.，Lt
28F49B	Leetek
28F52B	FN-LINK
28F532	ADD-Engineering
28F5370	Valeo Siemens eAutomotiv
28F5371	Umojo
28F5372	Unicair Communication Te
28F5373	Primetech Engineering
28F5374	Phyn
28F5375	Atomrock
28F5376	MyOmega
28F5377	Modern Cowboy
28F5378	1More
28F5379	Herbert Waldmann GmbH &
28F537A	Honeywell Safety Product
28F537B	LogiM GmbH Software und
28F537C	Matricx Singapore Pte
28F537D	Skyrockettoys
28F537E	Performance Motion Devic
28F5D1	Commscope
28F606	Syes
28F79A	LX Semicon
28F7D6	Fiberhome Telecommunicat
28F8C60	2iC-Care
28F8C61	Annapurna labs
28F8C62	Intermatic
28F8C63	Panasonic Automotive Sys
28F8C64	HengzhengTC Sci-Tech
28F8C65	Sarco Equipments PVT
28F8C66	Hongdian
28F8C67	ASES GROUP s.r.o
28F8C68	Xifanlina
28F8C69	secuever
28F8C6A	Videndum Media Solutions
28F8C6B	3PI Tech Solutions
28F8C6C	Annapurna labs
28F8C6D	Goodtimes Technoogy
28F8C6E	COMEM
28FA19	Jingxun Software Telecom
28FA7A	Tmall
28FAA0	vivo Mobile Communicatio
28FBAE	Huawei
28FBD3	Ragentek
28FC51	The Electric Controller
28FCF6	Xin KingBrand enterprise
28FD800	Millcode
28FD801	Galileo
28FD802	Zhixiang
28FD803	NUUO
28FD804	Digital Signal
28FD805	Xiaocong Network
28FD806	Vigil Monitoring
28FD807	University of York
28FD808	Jasco Products
28FD809	Jinlitong
28FD80A	Apollo Digital (Taiwan)
28FD80B	Poket Hardware
28FD80C	Airbus Defence and Space
28FD80D	Grandway Technology (She
28FD80E	T-Radio
28FD80F	Private
28FE65	Siyoto
28FECD	Lemobile Information Tec
28FEDE	COMESTA
28FF3C	Apple
28FF3E	zte
28FF5F	HG Genuine Intelligent T
28FFB2	Toshiba
2A0BB8	xFusion Digital
2A1597	Cotsworks
2A2F83	Uplink
2A2FE2	onway
2A47C9	Code Construct
2A7F76	Wireless Broadband Allia
2A9FEB	AVnu Alliance
2AA139	Pointguard
2AA147	Distribuciones Cantileve
2AAC53	Wolfspyre Labs
2ABF3F	Linkplay
2ADBD7	Vesper
2AEA15	Tibit
2AFD6A	Charter
2C002A	TINNO Mobile
2C002C	Unowhy
2C0033	EControls
2C00AB	Commscope
2C00F7	Xos
2C010B	NASCENT Technology LLC -
2C01B5	Cisco
2C029F	3ALogics
2C0369	Accton
2C0547	Phaten
2C0613	China Mobile Group Devic
2C0623	Win Leader
2C073C	Devline
2C0786	Huawei Device
2C07F6	SKG Health
2C081C	Ovh
2C0823	Sercomm France Sarl
2C088C	HUMAX
2C08B4	Huawei Device
2C094D	Raptor Engineering
2C09CB	Cobs
2C0B97	Xiaomi
2C0BAB	Huawei
2C0BE9	Cisco
2C0D27	Huawei Device
2C0DA7	Intel
2C0DCF	Xiaomi
2C0E3D	Samsung Electro-Mechanic
2C10C1	Nintendo
2C1165	Silicon Laboratories
2C157E	RADIODATA
2C15BF	Samsung
2C15D9	Huawei
2C15E1	Phicomm (Shanghai)
2C16BD0	Jishi Huitong
2C16BD1	Curtiss-Wright Drive
2C16BD2	Aimco
2C16BD3	Saft
2C16BD4	Sunit
2C16BD5	Zhijian Link
2C16BD6	Cloudwalk
2C16BD7	Sct Optronics
2C16BD8	elink smart
2C16BD9	Walktech Information
2C16BDA	Haiying Wire
2C16BDB	Lingdong Technology (Bei
2C16BDC	CHJ Automotive
2C16BDD	Yanzhi
2C16BDE	Molex
2C17E0	SYSTEMES ET TECHNOLOGIES
2C1809	Apple
2C1875	Skyworth Digital Technol
2C18AE	Trend
2C195C	Xiaomi Mobile Software
2C1984	IDN Telecom
2C1A01	Huawei
2C1A05	Cisco
2C1A31	Electronics
2C1B3A	Hui Zhou Gaoshengda
2C1B8E	BYD Semiconductor Co，Ltd
2C1BC8	Hunan Topview Network Sy
2C1CF6	Alien Green
2C1CF7	Apple
2C1DB8	Commscope
2C1E4F	Chengdu Qianli Network
2C1EEA	Aerodev
2C1F23	Apple
2C200B	Apple
2C2080	Huawei Device
2C2131	Juniper
2C2172	Juniper
2C21D7	IMAX
2C228B	Ctr
2C233A	Hewlett Packard
2C245F	Babolat VS
2C2617	Oculus VR
2C265F0	Vorlink Iot
2C265F1	Griessbach
2C265F2	Jiangsu JARI
2C265F3	Clever
2C265F4	GTA
2C265F5	Motec
2C265F6	Appostar
2C265F7	Coremate Technical
2C265F8	Itus
2C265F9	Brüel & Kjaer Vibro
2C265FA	Polara Engineering
2C265FB	Rexgen
2C265FC	Aaton Digital
2C265FD	E Core
2C265FE	Hysentel
2C265FF	Private
2C26C5	zte
2C2768	Huawei
2C279E0	Changzhou WEBO Weighing
2C279E1	Electronique Bluewave
2C279E2	Kunyi electronic technol
2C279E3	Private
2C279E4	Shijiazhuang King Transp
2C279E5	AudioNord Distribution A
2C279E6	Rutledge Omni Services P
2C279E7	FOCAL-JMLab
2C279E8	Institut Dr. Foerster Gm
2C279E9	octoScope
2C279EA	Exegy
2C279EB	Forties
2C279EC	WAYCOM
2C279ED	Jiangsu JianHu Science &
2C279EE	Amaryllo
2C27D7	Hewlett Packard
2C27E4	Luxshare Precision Indus
2C282D	Bbk Educational
2C28B7	Ruiying
2C2997	Microsoft
2C2B86	Sagemcom Broadband
2C2BDB	eero
2C2BF9	LG Innotek
2C2D48	Commend
2C2FF4	eero
2C301A	Technicolor CH USA Inc f
2C3033	Netgear
2C3068	Pantech
2C3124	Cisco
2C326A	Apple
2C3311	Cisco
2C3341	China Mobile IOT
2C3358	Intel
2C3361	Apple
2C337A	Foxconn
2C3427	Erco & Gener
2C347B	Junge
2C3557	ELIIY Power
2C36A0	Capisco
2C36F2	Huawei
2C36F8	Cisco
2C3731	Yifang Digital
2C3796	Cybo
2C37C5	Qingdao Haier Intelligen
2C3996	Sagemcom Broadband
2C39C1	Ciena
2C3A28	Fagor Electrónica
2C3A91	Huawei Device
2C3AB1	Huawei Device
2C3AE8	Espressif
2C3AFD	AVM Audiovisuelles Marke
2C3B70	AzureWave
2C3BFD	Netstor
2C3C05	Marinesync
2C3EBF	HOSIN Global
2C3ECF	Cisco
2C3F0B	Cisco Meraki
2C3F38	Cisco
2C3F3E	Alge-Timing
2C3F87	Private
2C402B	Smart iBlue
2C4053	Samsung
2C4138	Hewlett Packard
2C41A1	Bose
2C4205	Lytx
2C431A	YOUHUA
2C43BE	Sunnovo
2C4401	Samsung
2C441B	Spectrum Medical
2C44FD	Hewlett Packard
2C459A	Dixon Technologies (Indi
2C4759	MEGA preponderance Scien
2C48350	Progress Rail Services I
2C48351	Advanced
2C48352	Rheonik Messtechnik
2C48353	Newtrax
2C48354	Geartech
2C48355	Scout Security
2C48356	Exertus
2C48357	Fast
2C48358	DPS
2C48359	SureFlap
2C4835A	Collatz+Trojan
2C4835B	Visteon Automotive Elect
2C4835C	Santec
2C4835D	Phasor Solutions
2C4835E	Irootech
2C4881	vivo Mobile Communicatio
2C4A11	Ciena
2C4B14	Sichuan Tianyi Comheart
2C4C15	Juniper
2C4C7D	New H3C
2C4CC6	Murata
2C4D54	ASUSTek COMPUTER
2C4D79	Weifang Goertek
2C4DDE	Tecno Mobile
2C4E7D	Chunghua Intelligent Net
2C4F52	Cisco
2C5089	Kaixuan Visual
2C52AF	Huawei
2C532B	TCT mobile
2C534A	Winyao
2C53D7	Sonova
2C542D	Cisco
2C5491	Microsoft
2C54CF	LG Electronics (Mobile C
2C553C	Vecima
2C557C	YOUHUA
2C55D3	Huawei
2C5683	China Mobile Group Devic
2C56DC	ASUSTek COMPUTER
2C572C	Allwinner
2C5731	Wingtech Group (HongKong
2C5741	Cisco
2C57CE	Apple
2C584F	Commscope
2C58B9	HP
2C58E8	Huawei
2C5917	Arcadyan
2C598A	LG Electronics (Mobile C
2C59E5	Hewlett Packard
2C5A05	Nokia
2C5A0F	Cisco
2C5A8D	SYSTRONIK Elektronik u.
2C5AA3	Promate Electronic Co.Lt
2C5BB8	Oppo Mobile Telecommunic
2C5BE1	Centripetal
2C5D34	Oppo Mobile Telecommunic
2C5D93	Ruckus Wireless
2C5EAB	Mellanox
2C5FF3	Pertronic Industries
2C600C	Quanta Computer
2C60CD	Nr Electric
2C6104	Fenglian
2C61F6	Apple
2C625A	Finest Security
2C6289	Regenersis (Glenrothes)
2C6373	Sichuan Tianyi Comheart
2C63A1	Huawei Device
2C641F	Vizio
2C64F6	Wu Qi
2C658D	Cisco
2C66AD	NimbleTech Digital
2C66F5	Electrical Appliances
2C6798	InTalTech
2C67AB	Ezelink Telecom
2C67BE	DWnet Technologies(Suzho
2C67FB	Zhengjili
2C691D0	Hunan Xiangjiang Kunpeng
2C691D1	Katek Se
2C691D2	Abode
2C691D3	Sunsa
2C691D4	Speedtech
2C691D5	LG
2C691D6	Carnegie Robotics
2C691D7	Gigalight
2C691D8	Ibm
2C691D9	Ex-Link
2C691DA	Panasonic Appliances Mar
2C691DB	Daren HI-Tech
2C691DC	Aparian
2C691DD	Ascentac
2C691DE	Chengdu Qianhong Communi
2C693E	Huawei
2C69BA	RF Controls
2C69CC	Valeo Detection
2C6A6F0	Shuncom
2C6A6F1	ELKO EP s.r.o
2C6A6F2	NanChang LangJie
2C6A6F3	Cloudproject Generation
2C6A6F4	Tinyco
2C6A6F5	Shen Zhen Sis Science &
2C6A6F6	Beep
2C6A6F7	Sm Dsp
2C6A6F8	Milbank Manufacturing
2C6A6F9	Logic IO Aps
2C6A6FA	Wellntel
2C6A6FB	Schneider Electric Korea
2C6A6FC	Sensity
2C6A6FD	Holjeron
2C6A6FE	EATON FHF Funke + Huster
2C6A6FF	Private
2C6B7D	Texas Instruments
2C6BF5	Juniper
2C6DC1	Intel
2C6E85	Intel
2C6F37	Nokia
2C6F4E	Hubei Yuan Times
2C6F51	Herospeed Digital
2C6FC9	Foxconn
2C704F	zte
2C7155	HiveMotion
2C71FF	Amazon
2C72C3	Soundmatters
2C7360	Earda
2C73A0	Cisco
2C750F	Dongzhou-Lawton Communic
2C75CB	Novitec
2C7600	Apple
2C768A	Hewlett Packard
2C780E	Huawei Device
2C784C	Iton
2C793D	Boditech Med
2C79BE	TP-Link
2C79D7	Sagemcom Broadband
2C7AF40	Annapurna labs
2C7AF41	Annapurna labs
2C7AF42	Delmatic
2C7AF43	Yitoa Digital
2C7AF44	Kegao Intelligent Garden
2C7AF45	Annapurna labs
2C7AF46	ShangYu Auto
2C7AF47	Jinan LinkCtrl IoT
2C7AF48	Xi'an PESCO
2C7AF49	4neXt S.r.l.s
2C7AF4A	Risuntek
2C7AF4B	Arira Platforms
2C7AF4C	Reonel
2C7AF4D	Flextronics Automotive
2C7AF4E	NYBSYS
2C7B5A	Milper
2C7B84	OOO Petr Telegin
2C7BA0	Intel
2C7CE4	Wuhan Tianyu Information
2C7CF2	Apple
2C7E81	Commscope
2C7ECF	Onzo
2C8065	HARTING Inc. of North
2C8158	Foxconn
2C81BF	Apple
2C8217	Apple
2C86D2	Cisco
2C8A72	HTC
2C8AC7	Ubee Interactive
2C8BF2	Hitachi Metals
2C8D37	Virtium
2C8D48	Smart Innovation
2C8DB1	Intel
2C9127	Eintechno
2C91AB	AVM Audiovisuelles Marke
2C922C	Kishu Giken Kogyou Compa
2C93FB	Sercomm France Sarl
2C9452	Huawei
2C9464	Cincoze
2C9520	Apple
2C9569	Commscope
2C957F	zte
2C9662	Invenit
2C9682	MitraStar
2C9717	I.C.Y
2C97B1	Huawei
2C97ED	Sony Imaging Products &
2C9811	Cloud Network Technology
2C9924	Commscope
2C9975	Samsung
2C9AA4	Eolo
2C9C58	Cloud Network Technology
2C9D1E	Huawei
2C9D4B	Lavelle Networks Private
2C9D5A	Flaircomm Microelectroni
2C9D65	vivo Mobile Communicatio
2C9D90	Mellanox
2C9E00	Sony Interactive Enterta
2C9E5F	Commscope
2C9EE0	Cavli
2C9EEC	Jabil Circuit Penang
2C9EFC	Canon
2C9FFB	WNC
2CA02F	Veroguard
2CA042	Huawei Device
2CA157	acromate
2CA17D	Commscope
2CA2B4	Fortify
2CA2E5	Cisco
2CA30E	Power Dragon Development
2CA327	Oraimo
2CA539	Parallel Wireless
2CA59C	Hikvision Digital
2CA774	Texas Instruments
2CA780	True
2CA797	Huawei
2CA79E	Huawei
2CA7EF	OnePlus Technology (Shen
2CA835	Rim
2CA89C	Creatz
2CA9F0	Oppo Mobile Telecommunic
2CAA8E	Wyze Labs
2CAB00	Huawei
2CAB25	Gongjin Electronics Co.
2CAB33	Texas Instruments
2CAB46	Ruckus Wireless
2CABA4	Cisco SPVTG
2CABEB	Cisco
2CABEE	EM Microelectronic
2CAC44	Conextop
2CAD13	Zhilu
2CAE2B	Samsung
2CAE46	Cloud Network Technology
2CAFC4	Private
2CB05D	Netgear
2CB0DF	Soliton Technologies Pvt
2CB0FD	MiaoMing Intelligent
2CB115	Integrated Device Techno
2CB1B7	Mellanox
2CB21A	Phicomm (Shanghai)
2CB301	Honor Device
2CB43A	Apple
2CB471	Tuya Smart
2CB68F	Huawei
2CB693	Radware
2CB69D	RED Digital Cinema
2CB6C2	zte
2CB6C8	Raisecom
2CB7A1	Huawei Device
2CB8ED	SonicWall
2CBABA	Samsung
2CBACA	Cosonic Electroacoustic
2CBC87	Apple
2CBCBB	Espressif
2CBE08	Apple
2CBE97	Ingenieurbuero Bickele u
2CBEEB	Nothing
2CBEEE	Nothing
2CC1F4	Nokia Solutions and Netw
2CC253	Apple
2CC260	Oracle
2CC3E6	Bilian Electronic Co.，Lt
2CC407	machineQ
2CC44F0	Syeconmax
2CC44F1	Joyoful
2CC44F2	Vecima
2CC44F3	somon
2CC44F4	Siling Robot
2CC44F5	Mohan Electronics And Sy
2CC44F6	HM
2CC44F7	NSK Dental Italy
2CC44F8	Wuxi Yikesen Intelligent
2CC44F9	Kaspersky Lab Middle-Eas
2CC44FA	OneThing
2CC44FB	CAMS New Energy
2CC44FC	Xiaoqu Zhipin
2CC44FD	Fanlian Yunduan
2CC44FE	Elcos
2CC546	Huawei Device
2CC548	IAdea
2CC5D3	Ruckus Wireless
2CC682	Quectel Wireless Solutio
2CC6A0	Lumacron
2CC81B	Routerboard.com
2CC8F5	Huawei Device
2CCA0C	Withus Planet
2CCA16	Apple
2CCA75	Robert Bosch GmbH AnP
2CCC15	Nokia
2CCC44	Sony Interactive Enterta
2CCC7A	AltoBeam
2CCCE6	Skyworth Digital Technol
2CCD27	Precor
2CCD43	Summit
2CCD69	Aqavi.com
2CCE1E	Cloudtronics
2CCF58	Huawei
2CCF67	Raspberry Pi
2CD02D	Cisco
2CD05A	Liteon
2CD066	Xiaomi
2CD1410	iCIRROUND
2CD1411	Ezee
2CD1412	IntelliLUM
2CD1413	AOptix
2CD1414	RW ELE&TEC
2CD1415	Zenic
2CD1416	Bowei
2CD1417	35.com Technology Co .Lt
2CD1418	Minno
2CD1419	Hexing Chuangxiang
2CD141A	Fiberroad
2CD141B	Resus Industries
2CD141C	PIN SHANG LED
2CD141D	Square
2CD141E	Cita Smart Solutions
2CD141F	Private
2CD1C6	Murata
2CD1DA	Keysight
2CD26B	Fn-Link
2CD2E3	Aoshi
2CD2E7	Nokia
2CD3AD	Texas Instruments
2CD444	Fujitsu
2CD7FF	LANCOM
2CD8AE	SEI Robotics
2CD8DE	AltoBeam
2CD974	Hui Zhou Gaoshengda
2CDA3F	Ramaxel Memory
2CDA46	Samsung
2CDB07	Intel
2CDC78	Descartes Systems (USA)
2CDCAD	WNC
2CDCC1	EM Microelectronic
2CDCD7	AzureWave
2CDD0C	Discovergy
2CDD5F	iComm Semiconductor
2CDD95	Taicang T&W
2CDDA3	Point Grey Research
2CDDE9	Arista
2CDEDF	Guangxi Konaixin Precisi
2CDEF5	TVS REGZA
2CDF68	Apple
2CDFE6	Raisecom
2CE032	TCL King Electrical Appl
2CE099	Fujian Star-Net Communic
2CE187	New H3C
2CE2A8	DeviceDesign
2CE2D9	Huawei Device
2CE310	Stratacache
2CE38E	Cisco
2CE412	Sagemcom Broadband
2CE5BD	Ubiquiti
2CE64D	GD Midea Air-Conditionin
2CE6CC	Ruckus Wireless
2CE7A7	SJIT
2CE871	Alert Metalguard ApS
2CEA7F	Dell
2CEADA	ICC Intelligent Platform
2CEADC	Askey Computer
2CEAFC	Intel
2CECA6	Huawei
2CECF7	SDMC
2CED89	Huawei
2CEDB0	Huawei
2CEDEB	Alpheus Digital
2CEE26	Petroleum Geo-Services
2CF05D	Micro-Star INTL
2CF0A2	Apple
2CF0EE	Apple
2CF1BB	zte
2CF203	Emko Elektronik San Ve T
2CF295	Huawei Device
2CF2A5	Sagemcom Broadband
2CF432	Espressif
2CF4C5	Avaya
2CF7F1	Seeed
2CF814	Cisco
2CF89B	Cisco
2CF8EC	Quectel Wireless Solutio
2CFAA2	Alcatel-Lucent Enterpris
2CFB0F	Sagemcom Broadband
2CFC8B	Oppo Mobile Telecommunic
2CFCE4	CTEK Sweden
2CFD37	Blue Calypso
2CFDA1	ASUSTek COMPUTER
2CFDAB	Motorola (Wuhan) Mobilit
2CFDB3	Tonly
2CFDB4	Jingxun Software Telecom
2CFE4F	Xiaomi
2CFE8B	Microchip
2CFEE2	Qingdao Hisense
2CFF65	Oki Electric Industry
2CFFEE	vivo Mobile Communicatio
3000FC	Nokia
3001AF	Cisco
3003C8	Cloud Network Technology
30045C	SuperElectron
300475	Qbic Communications Dmcc
300505	Intel
30053F	JTI
30055C	Brother industries
30074D	Samsung Electro-Mechanic
30075C	Netis
3007A3	Skyworth Digital
30084D	Trumpf Hüttinger
300916	Apple
3009C0	Motorola Mobility LLC a
3009F90	Hurray Cloud
3009F91	Sunvell
3009F92	Netswift
3009F93	OOO "Microlink-Svyaz"
3009F94	Punkt Tronics
3009F95	Velsitec-Clibase
3009F96	Mydreamplus Information
3009F97	Maytronics
3009F98	essence security
3009F99	Bonraybio
3009F9A	Tencent Computer System
3009F9B	Sichuan Nebula
3009F9C	Honeywell
3009F9D	Technology for Humankind
3009F9E	ZhongLi HengFeng (Shenzh
300A600	KAZUtechnica
300A601	Ruiteng Zhongtian
300A602	Advanced Electronic Desi
300A603	Intergard do Brasil Ind
300A604	Avic Jonhon Optronic
300A605	A9
300A606	Realtime biometrics Indi
300A607	Newtons4th
300A608	Bronkhorst High-Tech
300A609	WINTEK System
300A60A	Ampetronic
300A60B	Giax
300A60C	Thermo Process Instrumen
300A60D	Sixth Energy Technologie
300A60E	Imageo s.r.o
300A9D	Axino Solutions
300AC5	Ruio telecommunication
300B9C	Delta Mobile
300C23	zte
300D2A	Wellcom
300D43	Microsoft Mobile
300D9E	Ruijie
300E43	Apple
300EB8	LG
300ED5	Foxconn
300EE3	Aquantia
3010B3	Liteon
3010E4	Apple
301389	Siemens AG Automations &
30138B	HP
30142D	Piciorgros
30144A	WNC
301518	Ubiquitous Communication
301577	Zyxel
30168D	ProLon
30169D	Mercusys
3017C8	Sony
3018CF	DEOS control
301966	Samsung
301984	Huawei
301A28	Mako
301A30	Mako
301ABA	Oppo Mobile Telecommunic
301B97	Lierda Science &
301C22	Hewlett Packard Enterpri
301D49	Firmus
301F48	zte
301F9A0	Ilsan
301F9A1	Dewesoft d.o.o
301F9A2	CHISON Medical
301F9A3	Micomsoft
301F9A4	NCM Supplies
301F9A5	Surestar Technology Co.
301F9A6	YiSheng
301F9A7	Triax A/S
301F9A8	Fine Triumph
301F9A9	Deep Sentinel
301F9AA	Hunan Changsha Hengjian
301F9AB	Smart Component
301F9AC	Origami
301F9AD	OLIMEX
301F9AE	Fengliyuan Energy Conser
30215B	Ostar Display
302303	Belkin
302364	Nokia Shanghai Bell
3023BA	Accelerated Memory Produ
3023CD	Fujian Star-Net Communic
302432	Intel
302450	Huacheng Network
302478	Sagemcom Broadband
3024A9	HP
3027CF	Canopy Growth
30292B	eero
30294B	Huawei
302952	Hillstone
3029BE	MRDcom
302BDC	Top-Unum
302DE8	JDA LLC (JDA Systems)
302F1E	Siemens
302FAC	HuaRay
30305F	Valeo Schalter und Senso
3030D0	Texas Instruments
3030F9	Espressif
30317D	Hosiden
303180	Skyworth Digital
303235	Qingdao Intelligent&Prec
303294	W-IE-NE-R Plein & Baus
3032D4	Hanilstm
303335	Boosty
303422	eero
3034D2	Availink
3034DB	LG Innotek
3034F6	Vantiva Connected Home -
3035AD	Apple
3035C5	Huawei Device
3037A6	Cisco
3037B3	Huawei
303855	Nokia
303926	Sony
303955	Jinhengjia
3039A9	Hongshan Information Sci
3039F2	ADB Broadband Italia
303A4A	eero
303A64	Intel
303ABA	BaoLun
303B49	Cisco Meraki
303B7C	Apple
303D08	Glintt Tes
303D510	Fink Telecom Services
303D511	Wlink
303D512	Harman Connected Service
303D513	S & A
303D514	Dspread Technology (Beij
303D515	Media Hub Digital Smart
303D516	Amber-Link Network
303D517	Destiny Automate
303D518	The Heil Co dba AWTI 3rd
303D519	Annapurna labs
303D51A	TeraNXT Global India Pvt
303D51B	Labman Automation
303D51C	TalkGo
303D51D	XOR UK
303D51E	Percent.com
303EA7	Intel
303EAD	Sonavox Canada
303F5D	Pt Han Sung Electoronics
303F7B	YOUHUA
303FBB	Hewlett Packard Enterpri
304074	zte
3040FA	EM Microelectronic
304174	Altec Lansing
3041DB	vivo Mobile Communicatio
304225	Burg-Wächter
304240	zte
3042A1	ilumisys Inc. DBA Toggle
3043D70	Symes
3043D71	juduoping
3043D72	Apollo Infoways Private
3043D73	Luxshare Electronic Tech
3043D74	Fiberme
3043D75	Mees Hi-Tech
3043D76	Sprocomm Technologies Co
3043D77	DIGICITI
3043D78	Kesu (Shanghai)
3043D79	PK Solutions
3043D7A	Bodhi
3043D7B	Motec
3043D7C	Xiaoniu network technolo
3043D7D	Annapurna labs
3043D7E	Hongqin Telecom
304449	PLATH Signal Products Gm
304487	Hefei Radio Communicatio
3044A1	Nanchao Information
304511	Texas Instruments
304596	Huawei
30469A	Netgear
30487D	Tuya Smart
30493B	Nanjing Z-Com Wireless
3049500	Lian-med
3049501	Atli World
3049502	Sercomm
3049503	Morgan Schaffer
3049504	Advanced Microwave Engin
3049505	IK Elektronik
3049506	Curb
3049507	iTG robot
3049508	Ldrobot
3049509	gatang
304950A	Illucere
304950B	Ev-Tech
304950C	Anacove
304950D	Merlyn Mind
304950E	IoTmaxx
30499E	Huawei
304A26	Trolink
304AC4	Barrot
304B07	Motorola Mobility LLC a
304C7E	Panasonic Electric Works
304D1F	Amazon
304E1B	Huawei Device
304EC3	Tianjin Techua
304F00	Oppo Mobile Telecommunic
304F75	Zhone
305075	GN Audio A/S
3050CE	Xiaomi
3050F1	Ennoconn
3050FD	Skyworth Digital Technol
3051F8	BYK-Gardner
305223	GD Midea Air-Conditionin
305253	BuildJet
30525A	NST
3052CB	Liteon
30535B	Comnect
3053C1	Cresyn
3055ED	Trex Network
30560F	GIGA-BYTE
305684	Yunji Intelligent
305696	Infinix mobility
305714	Apple
30578E	eero
3057AC	Irlab
305890	Frontier Silicon
3058EB	zte
30595B	streamnow
3059B7	Microsoft
305A3A	ASUSTek COMPUTER
305A99	Sichuan Tianyi Comheart
305D38	Beissbarth
305DA6	ADVALY SYSTEM
305F77	New H3C
30600A	Cig Shanghai
306023	Commscope
306112	PAV
306118	Paradom
3061A2	Huawei
306222	Samsung
30636B	Apple
306371	Shenzhenshi Xinzhongxin
3063CF	Cainiao Supply Chain Man
3063EA	Juniper
3065EC	Wistron (ChongQing)
3066D0	Huawei Device
3067A1	Sagemcom Broadband
30688C	Reach
306893	TP-Link
30694B	Rim
306A4F	Roku
306A85	Samsung
306CBE	Skymotion Technology (HK
306D34	Wu Qi
306DF9	Oppo Mobile Telecommunic
306E5C	Validus
306F07	Nations
3071B2	Prevail Optoelectronic E
307350	Inpeco
307467	Samsung
307496	Huawei
307512	Sony
30766F	LG Electronics (Mobile C
3076F5	Espressif
3077CB	Maike Industry(Shenzhen)
3077DF	Terex
30785C	Partow Tamas Novin (Parm
30786B	TIANJIN Golden Pentagon
3078C2	Innowireless / QUCELL
3078D3	Virgilant
307A05	Huawei
307A57	Accuenergy (CANADA)
307AD2	Apple
307BAC	New H3C
307BC9	Bilian Electronic Co.，Lt
307C30	Rim
307C4A	Huawei Device
307C5E	Juniper
307CB2	Anov France
307ECB	Sfr
307F10	Oppo Mobile Telecommunic
30809B	New H3C
308216	Apple
30836B	SteeRetail
308398	Espressif
3083D2	Motorola Mobility LLC a
308454	Oppo Mobile Telecommunic
3085A9	ASUSTek COMPUTER
3085EB	Fiberhome Telecommunicat
30862D	Arista Network
3086F1	Fiberhome Telecommunicat
308730	Huawei
3087D9	Ruckus Wireless
308841	Sichuan AI-Link
308944	DEVA Broadcast
30894A	Intel
308976	Dalian Lamba
308999	East Power Co
3089A6	Huawei
3089D3	Hongkong Ucloudlink Netw
3089EC	Nintendo
308AF7	Huawei Device
308B23	Annapurna labs
308BB2	Cisco
308CFB	Dropcam
308D99	Hewlett Packard
308DD4	Huawei
308E7A	iComm Semiconductor
308ECF	Huawei
309048	Apple
3090AB	Apple
309176	Skyworth Digital Technol
30918F	Vantiva Technologies Bel
3092F6	Sunmon Communication Tec
3093BC	Sagemcom Broadband
309435	vivo Mobile Communicatio
309587	Hunan Fn-Link
3095E3	Simcom
309610	Huawei Device
30963B	Huawei Device
30964C	Egym Se
3096FB	Samsung
309935	zte
309BAD	Bbk Educational
309C23	Micro-Star INTL
309E1D	Ohsung
309E62	Huawei
309FFB	Ardomus
30A023	Rock Path S.R.L
30A033	Apple
30A176	Fiberhome Telecommunicat
30A1FA	Huawei
30A220	ARG Telecom
30A243	Prifox Innovation
30A2C2	Huawei Device
30A30F	Huawei
30A3B5	Jiangsu Best Tone Inform
30A452	Arrival Elements
30A612	Hugsun
30A771	Jiang Su Fulian Communic
30A889	Decimator Design
30A8DB	Sony
30A998	Huawei Device
30A9DE	LG Innotek
30AABD	Reallytek Information
30AAE4	Huawei Device
30AB6A	Samsung Electro-Mechanic
30ACED	Packet Clearing House
30AE7B	Deqing Dusun Electron
30AEA4	Espressif
30AEF6	Radio Mobile Access
30AF7E	Texas Instruments
30AFCE	vivo Mobile Communicatio
30B037	New H3C
30B0EA	Chuangxin Internet Commu
30B164	Power
30B1B5	Arcadyan
30B216	Hitachi Energy Germany
30B237	GD Midea Air-Conditionin
30B29F	Evident
30B346	Cjsc Norsi-Trans
30B3A2	Heguang Measurement & Co
30B49E	TP-Link
30B4B8	LG
30B5C2	TP-Link
30B5F1	Aitexin
30B62D	Mojo
30B64F	Juniper
30B7D4	Hitron
30B851	Siemens
30B89A	Kryon Technology Private
30B930	zte
30B9B0	Intracom Asia
30BB280	Digital Reach Pvt
